src, dst
470195, 6992597724
6992597724, 6992597724
6992597724, 2160594581
2160594581, 2160594581
2160594581, 6992597725
6992597725, 6992597725
6992597725, 414997486
414997486, 414997486
94165414, 2160594587
2160594587, 2160594587
2160594587, 94205089
94205089, 94205089
94205089, 1871796133
1871796133, 1871796133
1871796133, 1828533266
1828533266, 1828533266
1828533266, 1871796058
1871796058, 1871796058
1871796058, 19715155
19715155, 19715155
19715155, 1871796090
1871796090, 1871796090
1871796090, 1871796167
1871796167, 1871796167
1871796167, 94206274
94206274, 94206274
94206274, 1675158632
1675158632, 1675158632
1675158632, 5619882798
5619882798, 5619882798
5619882798, 1871796231
1871796231, 1871796231
1871796231, 6114122836
6114122836, 6114122836
6114122836, 1675158636
1675158636, 1675158636
1675158636, 1675158635
1675158635, 1675158635
94164241, 2194257043
2194257043, 2194257043
2194257043, 613742310
613742310, 613742310
613742310, 6311415121
6311415121, 6311415121
6311415121, 94161169
94161169, 94161169
94161169, 6311422283
6311422283, 6311422283
6311422283, 202815928
202815928, 202815928
202815928, 2194257134
2194257134, 2194257134
2194257134, 94157219
94157219, 94157219
94157219, 2194257137
2194257137, 2194257137
2194257137, 6855302040
6855302040, 6855302040
6855302040, 202815391
202815391, 202815391
202815391, 1786279607
1786279607, 1786279607
1786279607, 326967463
326967463, 326967463
326967463, 1786279603
1786279603, 1786279603
1786279603, 94164238
94164238, 94164238
94164238, 1786279606
1786279606, 1786279606
1786279606, 1568090366
1568090366, 1568090366
1568090366, 516246598
516246598, 516246598
516246598, 94164234
94164234, 94164234
94166149, 652031471
652031471, 652031471
652031471, 1840005840
1840005840, 1840005840
1840005840, 6207449491
6207449491, 6207449491
6207449491, 4497062400
4497062400, 4497062400
4497062400, 5431407637
5431407637, 5431407637
5431407637, 4497062397
4497062397, 4497062397
4497062397, 4497062396
4497062396, 4497062396
4497062396, 94166145
94166145, 94166145
361103, 602281889
602281889, 602281889
602281889, 5297531439
5297531439, 5297531439
5297531439, 1786279647
1786279647, 1786279647
1786279647, 94166342
94166342, 94166342
94165414, 655336899
655336899, 655336899
655336899, 4497062392
4497062392, 4497062392
4497062392, 94166338
94166338, 94166338
665070979, 94167835
94167835, 94167835
94167835, 655338341
655338341, 655338341
655338341, 665071001
665071001, 665071001
94168021, 652026014
652026014, 652026014
652026014, 2194257172
2194257172, 2194257172
2194257172, 5434163338
5434163338, 5434163338
5434163338, 6378957760
6378957760, 6378957760
6378957760, 912271456
912271456, 912271456
912271456, 1272477678
1272477678, 1272477678
1272477678, 602281887
602281887, 602281887
602281887, 6378957729
6378957729, 6378957729
6378957729, 1568090365
1568090365, 1568090365
1568090365, 327046186
327046186, 327046186
470195, 414997568
414997568, 414997568
414997568, 2428864298
2428864298, 2428864298
2428864298, 94169400
94169400, 94169400
94169400, 6267519927
6267519927, 6267519927
6267519927, 2160594563
2160594563, 2160594563
2160594563, 1342011463
1342011463, 1342011463
1342011463, 94170757
94170757, 94170757
971501901, 2160594571
2160594571, 2160594571
2160594571, 94169400
94169400, 94169400
94178683, 2140279528
2140279528, 2140279528
2140279528, 1235277203
1235277203, 1235277203
1235277203, 94179673
94179673, 94179673
94171402, 2160594576
2160594576, 2160594576
2160594576, 2148477940
2148477940, 2148477940
2148477940, 94211772
94211772, 94211772
94211772, 2148477943
2148477943, 2148477943
2148477943, 5435849234
5435849234, 5435849234
5435849234, 94179676
94179676, 94179676
94179676, 2148477945
2148477945, 2148477945
2148477945, 15643097
15643097, 15643097
94205089, 1871796117
1871796117, 1871796117
1871796117, 1236518790
1236518790, 1236518790
1236518790, 1871795979
1871795979, 1871795979
1871795979, 1871796205
1871796205, 1871796205
1871796205, 94205088
94205088, 94205088
94205088, 1871796075
1871796075, 1871796075
1871796075, 94179906
94179906, 94179906
94206882, 2160594584
2160594584, 2160594584
2160594584, 94206449
94206449, 94206449
94179907, 2160594590
2160594590, 2160594590
2160594590, 2160594588
2160594588, 2160594588
2160594588, 94206882
